 VARIABLES = "X",  "Y"
 ZONE N=          40 , E=          54 , F=FEPOINT, ET=TRIANGLE
        1.0000000000       -0.1570790000
        0.0000000000       -0.1570790000
        1.0000000000        0.1570790000
        0.0000000000        0.1570790000
        0.8888888889       -0.1570790000
        0.7777777778       -0.1570790000
        0.6666666667       -0.1570790000
        0.5555555556       -0.1570790000
        0.4444444444       -0.1570790000
        0.3333333333       -0.1570790000
        0.2222222222       -0.1570790000
        0.1111111111       -0.1570790000
        1.0000000000        0.0523596667
        1.0000000000       -0.0523596667
        0.1111111111        0.1570790000
        0.2222222222        0.1570790000
        0.3333333333        0.1570790000
        0.4444444444        0.1570790000
        0.5555555556        0.1570790000
        0.6666666667        0.1570790000
        0.7777777778        0.1570790000
        0.8888888889        0.1570790000
        0.0000000000       -0.0523596667
        0.0000000000        0.0523596667
        0.1770762451        0.0676234062
        0.1947396510       -0.0395719378
        0.2747532102        0.0679043033
        0.3002550841       -0.0475634967
        0.3788363745        0.0676149485
        0.4095666662       -0.0477347308
        0.4888867667        0.0686370650
        0.5206468161       -0.0465721592
        0.6001293949        0.0694485217
        0.7116094822        0.0667943139
        0.6315602707       -0.0460745767
        0.8029792250        0.0482707676
        0.8206421121       -0.0645388925
        0.7381258549       -0.0472142976
        0.8995184748       -0.0016405534
        0.0993702923        0.0032842140
 
         2        12        23
        23        12        40
        12        26        40
        23        40        24
        26        25        40
        12        11        26
        40        15        24
        40        25        15
        26        27        25
        11        28        26
        24        15         4
        25        16        15
        27        16        25
        28        27        26
        10        28        11
        17        16        27
        29        27        28
        10        30        28
        17        27        29
        28        30        29
        30        10         9
        18        17        29
        29        30        31
        32        30         9
        18        29        31
        32        31        30
        32         9         8
        31        19        18
        31        32        33
        35        32         8
        33        19        31
        35        33        32
         7        35         8
        33        20        19
        35        34        33
         7        38        35
        34        20        33
        38        34        35
         6        38         7
        34        21        20
        38        36        34
        37        38         6
        36        21        34
        37        36        38
         5        37         6
        36        22        21
        39        36        37
         5        39        37
        39        22        36
        39         5        14
        13        22        39
        14         5         1
        13        39        14
        13         3        22
