U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
17.03,-4.82599e-10,0,5.09985,1,0.28925,-2.71075,0,0.05,89
17.03,-4.82807e-10,0,5.09985,1,0.2925,-2.7075,0,0.05,90
17.03,-4.83014e-10,0,5.09985,1,0.29575,-2.70425,0,0.05,91
17.03,-4.83222e-10,0,5.09985,1,0.299,-2.701,0,0.05,92
17.03,-4.8343e-10,0,5.09985,1,0.30225,-2.69775,0,0.05,93
17.03,-4.83637e-10,0,5.09985,1,0.3055,-2.6945,0,0.05,94
17.03,-4.83845e-10,0,5.09985,1,0.30875,-2.69125,0,0.05,95
17.03,-4.84053e-10,0,5.09985,1,0.312,-2.688,0,0.05,96
17.03,-4.8426e-10,0,5.09985,1,0.31525,-2.68475,0,0.05,97
17.03,-4.84468e-10,0,5.09985,1,0.3185,-2.6815,0,0.05,98
17.03,-4.84675e-10,0,5.09985,1,0.32175,-2.67825,0,0.05,99
17.03,-4.84883e-10,0,5.09985,1,0.325,-2.675,0,0.05,100
17.03,-4.84757e-10,0,5.09985,1,0.32825,-2.67175,0,0.05,101
17.03,-4.84631e-10,0,5.09985,1,0.3315,-2.6685,0,0.05,102
17.03,-4.84505e-10,0,5.09985,1,0.33475,-2.66525,0,0.05,103
17.03,-4.84379e-10,0,5.09985,1,0.338,-2.662,0,0.05,104
17.03,-4.84253e-10,0,5.09985,1,0.34125,-2.65875,0,0.05,105
17.03,-4.84127e-10,0,5.09985,1,0.3445,-2.6555,0,0.05,106
17.03,-4.84001e-10,0,5.09985,1,0.34775,-2.65225,0,0.05,107
17.03,-4.83875e-10,0,5.09985,1,0.351,-2.649,0,0.05,108
17.03,-4.83749e-10,0,5.09985,1,0.35425,-2.64575,0,0.05,109
17.03,-4.83623e-10,0,5.09985,1,0.3575,-2.6425,0,0.05,110
17.03,-4.83497e-10,0,5.09985,1,0.36075,-2.63925,0,0.05,111
17.03,-4.83371e-10,0,5.09985,1,0.364,-2.636,0,0.05,112
17.03,-4.83245e-10,0,5.09985,1,0.36725,-2.63275,0,0.05,113
17.03,-4.83119e-10,0,5.09985,1,0.3705,-2.6295,0,0.05,114
17.03,-4.82993e-10,0,5.09985,1,0.37375,-2.62625,0,0.05,115
17.03,-4.82867e-10,0,5.09985,1,0.377,-2.623,0,0.05,116
17.03,-4.82741e-10,0,5.09985,1,0.38025,-2.61975,0,0.05,117
17.03,-4.82614e-10,0,5.09985,1,0.3835,-2.6165,0,0.05,118
17.03,-4.82488e-10,0,5.09985,1,0.38675,-2.61325,0,0.05,119
17.03,-4.82362e-10,0,5.09985,1,0.39,-2.61,0,0.05,120
17.03,-4.82236e-10,0,5.09985,1,0.39325,-2.60675,0,0.05,121
17.03,-4.8211e-10,0,5.09985,1,0.3965,-2.6035,0,0.05,122
17.03,-4.81984e-10,0,5.09985,1,0.39975,-2.60025,0,0.05,123
17.03,-4.81858e-10,0,5.09985,1,0.403,-2.597,0,0.05,124
17.03,-4.81732e-10,0,5.09985,1,0.40625,-2.59375,0,0.05,125
17.03,-4.82343e-10,0,5.09985,1,0.4095,-2.5905,0,0.05,126
17.03,-4.82955e-10,0,5.09985,1,0.41275,-2.58725,0,0.05,127
17.03,-4.83566e-10,0,5.09985,1,0.416,-2.584,0,0.05,128
17.03,-4.84177e-10,0,5.09985,1,0.41925,-2.58075,0,0.05,129
17.03,-4.84788e-10,0,5.09985,1,0.4225,-2.5775,0,0.05,130
17.03,-4.854e-10,0,5.09985,1,0.42575,-2.57425,0,0.05,131
17.03,-4.86011e-10,0,5.09985,1,0.429,-2.571,0,0.05,132
17.03,-4.86622e-10,0,5.09985,1,0.43225,-2.56775,0,0.05,133
17.03,-4.87233e-10,0,5.09985,1,0.4355,-2.5645,0,0.05,134
17.03,-4.87845e-10,0,5.09985,1,0.43875,-2.56125,0,0.05,135
