       np1       np2       ns1       ns2        ne
        70       250        66       432         4
 Edge number           1
         2         1       414
         3         2       406
         4         3       382
         5         4       374
         6         5       348
         7         6       330
         8         7       314
         9         8       291
        10         9       283
        11        10       258
        12        11       250
        13        12       226
        14        13       202
        15        14       193
        16        15       168
        17        16       158
        18        17       129
        19        18       110
        20        19        87
        21        20        56
        22        21        47
        23        22        25
        24        23        14
        25        24         6
        26        25         1
 Edge number           2
        28        27       432
        29        28       431
        30        29       430
        31        30       429
        32        31       428
        33        32       421
        34        33       420
        35        34       422
 Edge number           3
        37        36        90
        38        37        98
        39        38       109
        40        39       119
        41        40       138
        42        41       148
        43        42       157
        44        43       167
        45        44       176
        46        45       192
        47        46       201
        48        47       209
        49        48       217
        50        49       240
        51        50       264
        52        51       272
        53        52       296
        54        53       304
        55        54       328
        56        55       346
        57        56       363
        58        57       388
        59        58       396
        60        59       419
        61        60       432
 Edge number           4
        63        62         1
        64        63         4
        65        64        11
        66        65        20
        67        66        33
        68        67        49
        69        68        68
        70        69        90
 Face:           1
         2        28        60
        60        28        70
        28        69        70
        60        70        61
        70        69        71
        28        27        69
        70        72        61
        71        69        68
        71        72        70
        27        68        69
        61        72        62
        71        68       239
        71       245        72
        27        26        68
        72       248        62
        68       236       239
       239       245        71
       245       248        72
        26        67        68
        62       248        63
       237       239       236
        68        67       236
       239       240       245
       245       246       248
        26        25        67
       248       250        63
       237       236       228
       237       240       239
        67       227       236
       240       246       245
       246       250       248
        67        25       227
        63       250        64
       228       236       227
       237       228       229
       238       240       237
       243       246       240
       247       250       246
       222       227        25
        64       250       249
       228       227       223
       229       228       224
       238       237       229
       243       240       238
       246       243       247
       247       249       250
        24       222        25
       227       222       223
        64       249        65
       228       223       224
       229       224       225
       238       229       232
       238       235       243
       243       242       247
       247       244       249
       222        24        23
       223       222       214
        65       249        74
       215       224       223
       216       225       224
       225       232       229
       238       232       235
       235       242       243
       242       244       247
        74       249       244
       222        23       214
       223       214       215
        65        74        66
       216       224       215
       219       225       216
       226       232       225
       232       231       235
       235       234       242
       242       241       244
        73        74       244
       214        23       206
       207       215       214
        74        36        66
       208       216       215
       210       219       216
       225       219       226
       232       226       231
       231       234       235
       234       241       242
       241        73       244
        73        36        74
       206        23        22
       207       214       206
       208       215       207
        66        36         4
       210       216       208
       213       219       210
       226       219       218
       226       221       231
       231       230       234
       234       233       241
       241        37        73
        37        36        73
       182       206        21
       182       207       206
       183       208       207
       197       210       208
       213       210       209
       219       213       218
       226       218       221
       221       230       231
       230       233       234
       233        38       241
        38        37       241
        21       206        22
       183       207       182
       197       208       183
       209       210       197
       213       209       205
       218       213       212
       221       218       217
       221       220       230
       230        39       233
        39        38       233
       180       182        21
       182       181       183
       188       197       183
       198       209       197
       209       204       205
       213       205       212
       218       212       217
       221       217       220
       220        39       230
        20       180        21
       181       182       180
       181       188       183
       188       198       197
       204       209       198
       205       204       202
       212       205       203
       217       212       211
