       np1       np2       ns1       ns2        ne
        38        84        34       132         4
 Edge number           1
         2         1       116
         3         2       106
         4         3        96
         5         4        86
         6         5        76
         7         6        66
         8         7        56
         9         8        46
        10         9        35
        11        10        22
        12        11        11
        13        12         4
        14        13         1
 Edge number           2
        16        15       132
        17        16       131
        18        17       129
        19        18       121
 Edge number           3
        21        20        34
        22        21        36
        23        22        38
        24        23        47
        25        24        57
        26        25        67
        27        26        77
        28        27        87
        29        28        97
        30        29       107
        31        30       117
        32        31       126
        33        32       132
 Edge number           4
        35        34         1
        36        35         6
        37        36        15
        38        37        27
 Face:           1
         2        16        32
        16        84        32
        32        84        80
        16        15        84
        84        82        80
        32        80        33
        83        84        15
        82        78        80
        83        82        84
        33        80        35
        14        83        15
        35        80        78
        82        79        78
        83        81        82
        33        35        34
        83        14        36
        35        78        74
        75        78        79
        81        79        82
        83        36        81
        35        74        34
        36        14        13
        75        74        78
        76        75        79
        81        77        79
        36        71        81
        34        74         4
        60        36        13
        75        20        74
        79        77        76
        76        21        75
        77        81        71
        60        71        36
        74        20         4
        12        60        13
        21        20        75
        77        73        76
        22        21        76
        77        71        72
        61        71        60
        12        51        60
        76        73        22
        72        73        77
        61        72        71
        51        61        60
        11        51        12
        73        23        22
        72        70        73
        62        72        61
        59        61        51
        11        42        51
        73        70        23
        70        72        62
        59        62        61
        42        59        51
        42        11        10
        70        24        23
        70        62        69
        58        62        59
        50        59        42
        42        10        41
        69        24        70
        69        62        58
        59        50        58
        50        42        41
        41        10         9
        25        24        69
        69        58        68
        50        57        58
        50        41        49
        40        41         9
        68        25        69
        68        58        57
        49        57        50
        40        49        41
         8        40         9
        26        25        68
        68        57        67
        56        57        49
        48        49        40
        39        40         8
        67        26        68
        56        67        57
        48        56        49
        39        48        40
         7        39         8
        27        26        67
        66        67        56
        55        56        48
        47        48        39
         7        38        39
        67        66        27
        55        66        56
        47        55        48
        38        47        39
         6        38         7
        66        28        27
        65        66        55
        54        55        47
        46        47        38
         6        37        38
        66        65        28
        54        65        55
        46        54        47
        37        46        38
         6         5        37
        65        29        28
        64        65        54
        53        54        46
        37        45        46
        37         5        43
        65        64        29
        53        64        54
        46        45        53
        37        43        45
        43         5         1
        64        30        29
        63        64        53
        45        52        53
        45        43        44
        19        43         1
        64        63        30
        52        63        53
        44        52        45
