x,y,Density,Momentum_x,Momentum_y,Energy,Grid_Velocity_x,Grid_Velocity_y,Pressure,Temperature,Mach,C<sub>p</sub>,Roe_Dissipation,
-0.149999,0.0456949,1.22177,62.1053,-5.09547e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.149999,0.0466087,1.22177,62.1053,-5.09655e-10,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.149999,0.0475226,1.22177,62.1053,6.23807e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.149999,0.0484365,1.22177,62.1053,3.15027e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.149999,0.0493504,1.22177,62.1053,2.2479e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.149999,0.0502643,1.22177,62.1053,1.91415e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,

-0.148244,1e-06,1.22177,62.1053,5.49144e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.000914877,1.22177,62.1053,-3.11336e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00182875,1.22177,62.1053,-3.14542e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00274263,1.22177,62.1053,-3.77422e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00365651,1.22177,62.1053,-2.42989e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00457039,1.22177,62.1053,-1.52591e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00548426,1.22177,62.1053,-1.39705e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00639814,1.22177,62.1053,-1.81075e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00731202,1.22177,62.1053,-2.07721e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0082259,1.22177,62.1053,-2.0064e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.00913977,1.22177,62.1053,-1.24046e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0100537,1.22177,62.1053,-4.26702e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0109675,1.22177,62.1053,-2.7269e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0118814,1.22177,62.1053,-1.36426e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0127953,1.22177,62.1053,-2.72662e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0137092,1.22177,62.1053,-3.47913e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.014623,1.22177,62.1053,-3.81133e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0155369,1.22177,62.1053,-3.77257e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0164508,1.22177,62.1053,-3.46849e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0173647,1.22177,62.1053,-3.52965e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0182785,1.22177,62.1053,-3.43811e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0191924,1.22177,62.1053,-3.13714e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0201063,1.22177,62.1053,-2.52738e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0210202,1.22177,62.1053,-1.79284e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0219341,1.22177,62.1053,-1.22461e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0228479,1.22177,62.1053,-1.26467e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0237618,1.22177,62.1053,-1.3146e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0246757,1.22177,62.1053,-1.53621e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0255896,1.22177,62.1053,-1.63936e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0265034,1.22177,62.1053,-1.95106e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0274173,1.22177,62.1053,-3.0754e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0283312,1.22177,62.1053,-3.714e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0292451,1.22177,62.1053,-3.98834e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.030159,1.22177,62.1053,-2.72331e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0310728,1.22177,62.1053,-9.77827e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0319867,1.22177,62.1053,6.29021e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0329006,1.22177,62.1053,1.48777e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0338145,1.22177,62.1053,1.33667e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0347283,1.22177,62.1053,1.41267e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0356422,1.22177,62.1053,1.90568e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0365561,1.22177,62.1053,2.62456e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.03747,1.22177,62.1053,3.13367e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0383838,1.22177,62.1053,2.8065e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0392977,1.22177,62.1053,2.35359e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0402116,1.22177,62.1053,2.24354e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0411255,1.22177,62.1053,2.51757e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0420394,1.22177,62.1053,3.08248e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0429532,1.22177,62.1053,3.34538e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0438671,1.22177,62.1053,3.41874e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.044781,1.22177,62.1053,3.69807e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0456949,1.22177,62.1053,3.77591e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0466087,1.22177,62.1053,4.42028e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0475226,1.22177,62.1053,5.80266e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0484365,1.22177,62.1053,7.91202e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0493504,1.22177,62.1053,8.69624e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.148244,0.0502643,1.22177,62.1053,8.57666e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,

-0.146489,1e-06,1.22177,62.1053,1.32531e-07,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.000914877,1.22177,62.1053,9.48405e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00182875,1.22177,62.1053,5.06297e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00274263,1.22177,62.1053,8.07635e-09,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00365651,1.22177,62.1053,-1.85822e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00457039,1.22177,62.1053,-2.53168e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00548426,1.22177,62.1053,-1.95489e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00639814,1.22177,62.1053,-1.21532e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00731202,1.22177,62.1053,-1.43988e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0082259,1.22177,62.1053,-2.64417e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.00913977,1.22177,62.1053,-4.00109e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0100537,1.22177,62.1053,-4.29818e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0109675,1.22177,62.1053,-3.59143e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0118814,1.22177,62.1053,-2.80805e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0127953,1.22177,62.1053,-3.11009e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0137092,1.22177,62.1053,-4.51453e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.014623,1.22177,62.1053,-5.75328e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0155369,1.22177,62.1053,-6.64469e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0164508,1.22177,62.1053,-7.09643e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0173647,1.22177,62.1053,-6.97929e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0182785,1.22177,62.1053,-6.77189e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
-0.146489,0.0191924,1.22177,62.1053,-6.82685e-08,253933,0,-49.3,100942,287.814,0.149463,-0.540427,0,
