       np1       np2       ns1       ns2        ne
        56       115        52       176         4
 Edge number           1
         2         1       175
         3         2       163
         4         3       155
         5         4       147
         6         5       139
         7         6       131
         8         7       123
         9         8       115
        10         9       107
        11        10        99
        12        11        91
        13        12        83
        14        13        75
        15        14        67
        16        15        59
        17        16        51
        18        17        43
        19        18        35
        20        19        26
        21        20        14
        22        21         6
        23        22         1
 Edge number           2
        25        24       176
        26        25       174
        27        26       173
        28        27       175
 Edge number           3
        30        29        21
        31        30        25
        32        31        30
        33        32        34
        34        33        41
        35        34        49
        36        35        57
        37        36        65
        38        37        73
        39        38        80
        40        39        88
        41        40        96
        42        41       104
        43        42       112
        44        43       120
        45        44       128
        46        45       136
        47        46       144
        48        47       152
        49        48       160
        50        49       168
        51        50       176
 Edge number           4
        53        52         1
        54        53         4
        55        54        11
        56        55        21
 Face:           1
         2        25        50
        50        25       114
        25        55       114
        50       114        51
       110       114        55
        25        24        55
        51       114       112
        56       110        55
       114       110       112
        56        55        24
        51       112        52
        57       110        56
       112       110       109
        23        56        24
       112        29        52
        57        56        58
       108       110        57
       110       108       109
       109        29       112
        58        56        23
        52        29         4
        58        59        57
       108        57       107
       109       108        30
        30        29       109
        22        58        23
        57        59       107
        58        60        59
       108       107        31
       108        31        30
        22        60        58
       106       107        59
        59        60        61
       107        32        31
        21        60        22
       106        59        61
       107       106        32
        62        61        60
        21        62        60
       105       106        61
       106        33        32
        61        62        63
        20        62        21
       105        61        63
       106       105        33
        95        63        62
        20        95        62
       104       105        63
       105        34        33
        63        95       100
        19        95        20
       104        63       100
       104        34       105
        96       100        95
        19        96        95
       104       100       103
        35        34       104
       100        96       101
        96        19        18
       100       101       103
       103        35       104
        96        98       101
        98        96        18
       103       101       102
        36        35       103
       101        98        99
        98        18        17
       102       101        99
       102        36       103
        99        98        97
        97        98        17
        99        93       102
        37        36       102
        97        94        99
        97        17        16
        93        37       102
        99        94        93
        97        92        94
        97        16        92
        38        37        93
        89        93        94
        94        92        91
        92        16        15
        38        93        89
        91        89        94
        91        92        90
        90        92        15
        39        38        89
        87        89        91
        91        90        88
        14        90        15
        39        89        87
        88        87        91
        88        90        86
        86        90        14
        87        40        39
        88        84        87
        88        86        85
        13        86        14
        84        40        87
        88        85        84
        85        86        83
        83        86        13
        84        41        40
        85        82        84
        85        83        81
        12        83        13
        82        41        84
        85        81        82
        81        83        80
        80        83        12
        82        42        41
        82        81        79
        81        80        78
        11        80        12
        82        79        42
        81        78        79
        78        80        77
        77        80        11
        79        43        42
        79        78        76
        78        77        75
        10        77        11
        79        76        43
        78        75        76
        75        77        74
        74        77        10
        76        44        43
        76        75        73
        75        74        72
         9        74        10
        76        73        44
        75        72        73
        72        74        71
        71        74         9
        73        45        44
        73        72        70
        72        71        69
         8        71         9
        73        70        45
        72        69        70
        69        71        68
        68        71         8
        70        46        45
        70        69        67
        68        66        69
         7        68         8
        70        67        46
        66        67        69
        65        66        68
         7        65        68
        67        47        46
        66        64        67
        65       111        66
         6        65         7
        64        47        67
       111        64        66
        54       111        65
         6        54        65
        64        48        47
       111        53        64
        54       113       111
        54         6         5
        53        48        64
       115        53       111
       113       115       111
       113        54         5
        53        49        48
       115        49        53
        27       115       113
       113         5        28
        26        49       115
        27       113        28
        26       115        27
        28         5         1
        26         3        49
 1d points
      1        1.000000000000000
      5        0.954545454545455
      6        0.909090909090909
      7        0.863636363636364
      8        0.818181818181818
      9        0.772727272727273
     10        0.727272727272727
     11        0.681818181818182
     12        0.636363636363636
     13        0.590909090909091
     14        0.545454545454545
     15        0.500000000000000
     16        0.454545454545454
     17        0.409090909090909
     18        0.363636363636363
     19        0.318181818181818
     20        0.272727272727272
     21        0.227272727272727
     22        0.181818181818181
     23        0.136363636363636
     24        0.090909090909091
     25        0.045454545454545
      2        0.000000000000000
      3        1.000000000000000
     26        0.750000000000000
     27        0.500000000000000
     28        0.250000000000000
      1        0.000000000000000
      4        1.000000000000000
     29        0.954545454545455
     30        0.909090909090909
     31        0.863636363636364
     32        0.818181818181819
     33        0.772727272727273
     34        0.727272727272728
     35        0.681818181818182
     36        0.636363636363637
     37        0.590909090909091
     38        0.545454545454546
     39        0.500000000000000
     40        0.454545454545455
     41        0.409090909090909
     42        0.363636363636364
     43        0.318181818181818
     44        0.272727272727273
     45        0.227272727272727
     46        0.181818181818182
     47        0.136363636363636
     48        0.090909090909091
     49        0.045454545454545
      3        0.000000000000000
      2        1.000000000000000
     50        0.750000000000000
     51        0.500000000000000
     52        0.250000000000000
      4        0.000000000000000
 2d points
        0.000000000000000       -0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
       -2.000000000000000       -0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
        0.000000000000000        0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
       -2.000000000000000        0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
       -0.090909090909091       -0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
       -0.181818181818182       -0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
       -0.272727272727273       -0.157079000000000       11.111111111111111        0.000000000000000        0.000000000000000       11.111111111111111         0
