 VARIABLES = "X",  "Y"
 ZONE N=          41 , E=          50 , F=FEPOINT, ET=TRIANGLE
        0.0000000000       -0.1570790000
       -2.0000000000       -0.1570790000
        0.0000000000        0.1570790000
       -2.0000000000        0.1570790000
       -0.1538461538       -0.1570790000
       -0.3076923077       -0.1570790000
       -0.4615384615       -0.1570790000
       -0.6153846154       -0.1570790000
       -0.7692307692       -0.1570790000
       -0.9230769231       -0.1570790000
       -1.0769230769       -0.1570790000
       -1.2307692308       -0.1570790000
       -1.3846153846       -0.1570790000
       -1.5384615385       -0.1570790000
       -1.6923076923       -0.1570790000
       -1.8461538462       -0.1570790000
        0.0000000000        0.0000000000
       -1.8461538462        0.1570790000
       -1.6923076923        0.1570790000
       -1.5384615385        0.1570790000
       -1.3846153846        0.1570790000
       -1.2307692308        0.1570790000
       -1.0769230769        0.1570790000
       -0.9230769231        0.1570790000
       -0.7692307692        0.1570790000
       -0.6153846154        0.1570790000
       -0.4615384615        0.1570790000
       -0.3076923077        0.1570790000
       -0.1538461538        0.1570790000
       -2.0000000000        0.0000000000
       -1.3092175638       -0.0188579518
       -1.1573789788       -0.0223696561
       -0.8422964036       -0.0228759711
       -0.9999521128       -0.0253894470
       -0.6955648500       -0.0220715522
       -0.5350318744       -0.0188697035
       -1.8008892346        0.0177286571
       -1.4574339945        0.0157114567
       -1.6194398332        0.0236558397
       -0.3848369374        0.0150819958
       -0.2018918898        0.0192756521
 
         2        16        30
        30        16        37
        15        37        16
        30        37        18
        15        39        37
        37        19        18
        30        18         4
        39        19        37
        39        15        14
        20        19        39
        39        14        38
        39        38        20
        38        14        13
        38        21        20
        31        38        13
        38        31        21
        12        31        13
        31        22        21
        12        32        31
        32        22        31
        11        32        12
        32        23        22
        11        34        32
        34        23        32
        10        34        11
        34        24        23
        33        34        10
        34        33        24
         9        33        10
        33        25        24
         9        35        33
        35        25        33
         8        35         9
        35        26        25
         8        36        35
        36        26        35
         7        36         8
        36        27        26
         7        40        36
        40        27        36
         6        40         7
        40        28        27
         6        41        40
        41        28        40
         5        41         6
        41        29        28
        17        41         5
        17        29        41
        17         5         1
        17         3        29
