x,y,Density,Momentum_x,Momentum_y,Energy,Pressure,Temperature,Mach,C<sub>p</sub>,Roe_Dissipation,
-2,0.0301463,1.22526,41.1139,2.58238e-05,254051,101345,288.14,0.0986075,0.0277029,0,
-2,0.0333196,1.22526,41.1139,2.73013e-05,254051,101345,288.14,0.0986075,0.0277024,0,
-2,0.0364929,1.22526,41.1139,2.87788e-05,254051,101345,288.14,0.0986075,0.0277019,0,
-2,0.0396662,1.22526,41.1139,2.86196e-05,254051,101345,288.14,0.0986075,0.0277015,0,
-2,0.0428395,1.22526,41.1139,1.69874e-05,254051,101345,288.14,0.0986075,0.0277017,0,
-2,0.0460127,1.22526,41.1139,5.35527e-06,254051,101345,288.14,0.0986075,0.027702,0,
-2,0.049186,1.22526,41.1139,-6.27691e-06,254051,101345,288.14,0.0986075,0.0277022,0,
-2,0.0523593,1.22526,41.1138,-1.79091e-05,254051,101345,288.14,0.0986075,0.0277024,0,
-2,0.0555326,1.22526,41.1138,-2.95413e-05,254051,101345,288.14,0.0986074,0.0277027,0,
-2,0.0587059,1.22526,41.1138,-4.11734e-05,254051,101345,288.14,0.0986074,0.0277029,0,
-2,0.0618792,1.22526,41.1138,-3.40007e-05,254051,101345,288.14,0.0986074,0.0277046,0,
-2,0.0650525,1.22526,41.1138,-2.55731e-05,254051,101345,288.14,0.0986073,0.0277063,0,
-2,0.0682258,1.22526,41.1138,-1.71454e-05,254051,101345,288.14,0.0986073,0.0277081,0,
-2,0.0713991,1.22526,41.1138,-8.71767e-06,254051,101345,288.14,0.0986072,0.0277098,0,
-2,0.0745724,1.22526,41.1138,-2.89985e-07,254051,101345,288.14,0.0986072,0.0277115,0,
-2,0.0777457,1.22526,41.1137,8.1377e-06,254051,101345,288.14,0.0986072,0.0277133,0,
-2,0.080919,1.22526,41.1137,1.1221e-05,254051,101345,288.14,0.0986071,0.0277134,0,
-2,0.0840923,1.22526,41.1137,1.25221e-05,254051,101345,288.14,0.098607,0.0277131,0,
-2,0.0872656,1.22526,41.1136,1.38232e-05,254051,101345,288.14,0.0986069,0.0277127,0,
-2,0.0904389,1.22526,41.1136,1.51243e-05,254051,101345,288.14,0.0986068,0.0277123,0,
-2,0.0936121,1.22526,41.1135,1.64255e-05,254051,101345,288.14,0.0986066,0.0277119,0,
-2,0.0967854,1.22526,41.1135,1.77266e-05,254051,101345,288.14,0.0986065,0.0277116,0,
-2,0.0999587,1.22526,41.1135,1.98864e-05,254051,101345,288.14,0.0986065,0.0277109,0,
-2,0.103132,1.22526,41.1135,2.27184e-05,254051,101345,288.14,0.0986065,0.0277101,0,
-2,0.106305,1.22526,41.1135,2.55503e-05,254051,101345,288.14,0.0986066,0.0277092,0,
-2,0.109479,1.22526,41.1135,2.83823e-05,254051,101345,288.14,0.0986066,0.0277084,0,
-2,0.112652,1.22526,41.1135,3.12142e-05,254051,101345,288.14,0.0986066,0.0277076,0,
-2,0.115825,1.22526,41.1135,3.40461e-05,254051,101345,288.14,0.0986067,0.0277067,0,
-2,0.118998,1.22526,41.1135,4.07334e-05,254051,101345,288.14,0.0986067,0.0277063,0,
-2,0.122172,1.22526,41.1136,5.38547e-05,254051,101345,288.14,0.0986068,0.0277067,0,
-2,0.125345,1.22526,41.1136,6.6976e-05,254051,101345,288.14,0.098607,0.0277071,0,
-2,0.128518,1.22526,41.1137,8.00973e-05,254051,101345,288.14,0.0986071,0.0277075,0,
-2,0.131692,1.22526,41.1137,9.32186e-05,254051,101345,288.14,0.0986072,0.0277079,0,
-2,0.134865,1.22526,41.1138,0.00010634,254051,101345,288.14,0.0986073,0.0277083,0,
-2,0.138038,1.22526,41.1138,0.000114335,254051,101345,288.14,0.0986074,0.0277084,0,
-2,0.141212,1.22526,41.1139,0.000100096,254051,101345,288.14,0.0986075,0.0277072,0,
-2,0.144385,1.22526,41.1139,8.5857e-05,254051,101345,288.14,0.0986077,0.0277061,0,
-2,0.147558,1.22526,41.114,7.16177e-05,254051,101345,288.14,0.0986078,0.0277049,0,
-2,0.150731,1.22526,41.1141,5.73785e-05,254051,101345,288.14,0.0986079,0.0277038,0,
-2,0.153905,1.22526,41.1141,4.31393e-05,254051,101345,288.14,0.0986081,0.0277026,0,
-2,0.157078,1.22526,41.1142,2.89001e-05,254051,101345,288.14,0.0986082,0.0277014,0,

-1.96667,-0.157078,1.22526,41.1142,-5.10682e-05,254052,101345,288.14,0.0986081,0.0281395,0,
-1.96667,-0.153905,1.22526,41.1142,-7.81337e-05,254052,101345,288.14,0.0986079,0.0281403,0,
-1.96667,-0.150731,1.22526,41.1141,-0.000105199,254052,101345,288.14,0.0986077,0.0281411,0,
-1.96667,-0.147558,1.22526,41.114,-0.000132265,254052,101345,288.14,0.0986076,0.0281419,0,
-1.96667,-0.144385,1.22526,41.1139,-0.000154224,254052,101345,288.14,0.0986074,0.0281434,0,
-1.96667,-0.141212,1.22526,41.1138,-0.000163719,254052,101345,288.14,0.0986072,0.0281446,0,
-1.96667,-0.138038,1.22526,41.1138,-0.000165304,254052,101345,288.14,0.098607,0.0281447,0,
-1.96667,-0.134865,1.22526,41.1137,-0.000166889,254052,101345,288.14,0.0986069,0.0281448,0,
-1.96667,-0.131692,1.22526,41.1137,-0.000167772,254052,101345,288.14,0.0986068,0.0281454,0,
-1.96667,-0.128518,1.22526,41.1136,-0.000167382,254052,101345,288.14,0.0986066,0.0281471,0,
-1.96667,-0.125345,1.22526,41.1136,-0.000166681,254052,101345,288.14,0.0986065,0.0281486,0,
-1.96667,-0.122172,1.22526,41.1135,-0.000161554,254052,101345,288.14,0.0986064,0.0281507,0,
