U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
102.15,-1.91631e-08,0,-5108.91,1,0.416049,-2.584,0,0.0064,64
102.15,-1.9207e-08,0,-5108.91,1,0.42255,-2.5775,0,0.0065,65
102.15,-1.92509e-08,0,-5108.91,1,0.429051,-2.571,0,0.0066,66
102.15,-1.92947e-08,0,-5108.91,1,0.435551,-2.5645,0,0.0067,67
102.15,-1.93386e-08,0,-5108.91,1,0.442052,-2.558,0,0.0068,68
102.15,-1.93825e-08,0,-5108.91,1,0.448553,-2.5515,0,0.0069,69
102.15,-1.94462e-08,0,-5108.91,1,0.455054,-2.545,0,0.007,70
102.15,-1.95159e-08,0,-5108.91,1,0.461555,-2.5385,0,0.0071,71
102.15,-1.95856e-08,0,-5108.91,1,0.468055,-2.532,0,0.0072,72
102.15,-1.96553e-08,0,-5108.91,1,0.474556,-2.5255,0,0.0073,73
102.15,-1.9725e-08,0,-5108.91,1,0.481057,-2.519,0,0.0074,74
102.15,-1.97947e-08,0,-5108.91,1,0.487558,-2.5125,0,0.0075,75
102.15,-1.98645e-08,0,-5108.91,1,0.494058,-2.506,0,0.0076,76
102.15,-1.99356e-08,0,-5108.91,1,0.500559,-2.4995,0,0.0077,77
102.15,-2.00237e-08,0,-5108.91,1,0.50706,-2.493,0,0.0078,78
102.15,-2.01119e-08,0,-5108.91,1,0.513561,-2.4865,0,0.0079,79
102.15,-2.02001e-08,0,-5108.91,1,0.520061,-2.48,0,0.008,80
102.15,-2.02882e-08,0,-5108.91,1,0.526562,-2.4735,0,0.0081,81
102.15,-2.03764e-08,0,-5108.91,1,0.533063,-2.467,0,0.0082,82
102.15,-2.04646e-08,0,-5108.91,1,0.539564,-2.4605,0,0.0083,83
102.15,-2.05527e-08,0,-5108.91,1,0.546065,-2.454,0,0.0084,84
102.15,-2.06482e-08,0,-5108.91,1,0.552565,-2.4475,0,0.0085,85
102.15,-2.07555e-08,0,-5108.91,1,0.559066,-2.441,0,0.0086,86
102.15,-2.08627e-08,0,-5108.91,1,0.565567,-2.4345,0,0.0087,87
102.15,-2.09699e-08,0,-5108.91,1,0.572068,-2.428,0,0.0088,88
102.15,-2.10771e-08,0,-5108.91,1,0.578569,-2.4215,0,0.0089,89
102.15,-2.11843e-08,0,-5108.91,1,0.585069,-2.415,0,0.009,90
102.15,-2.12916e-08,0,-5108.91,1,0.59157,-2.4085,0,0.0091,91
102.15,-2.13988e-08,0,-5108.91,1,0.598071,-2.402,0,0.0092,92
102.15,-2.15233e-08,0,-5108.91,1,0.604572,-2.3955,0,0.0093,93
102.15,-2.16555e-08,0,-5108.91,1,0.611072,-2.389,0,0.0094,94
102.15,-2.17876e-08,0,-5108.91,1,0.617573,-2.3825,0,0.0095,95
102.15,-2.19198e-08,0,-5108.91,1,0.624074,-2.376,0,0.0096,96
102.15,-2.2052e-08,0,-5108.91,1,0.630575,-2.3695,0,0.0097,97
102.15,-2.21842e-08,0,-5108.91,1,0.637075,-2.363,0,0.0098,98
102.15,-2.23164e-08,0,-5108.91,1,0.643576,-2.3565,0,0.0099,99
102.15,-2.24485e-08,0,-5108.91,1,0.650077,-2.35,0,0.01,100
102.15,-2.26125e-08,0,-5108.91,1,0.656578,-2.3435,0,0.0101,101
102.15,-2.27765e-08,0,-5108.91,1,0.663079,-2.337,0,0.0102,102
102.15,-2.29404e-08,0,-5108.91,1,0.669579,-2.3305,0,0.0103,103
102.15,-2.31044e-08,0,-5108.91,1,0.67608,-2.324,0,0.0104,104
102.15,-2.32684e-08,0,-5108.91,1,0.682581,-2.3175,0,0.0105,105
102.15,-2.34323e-08,0,-5108.91,1,0.689081,-2.311,0,0.0106,106
102.15,-2.35963e-08,0,-5108.91,1,0.695582,-2.3045,0,0.0107,107
102.15,-2.37712e-08,0,-5108.91,1,0.702083,-2.298,0,0.0108,108
102.15,-2.39709e-08,0,-5108.91,1,0.708584,-2.2915,0,0.0109,109
102.15,-2.41705e-08,0,-5108.91,1,0.715085,-2.285,0,0.011,110
102.15,-2.43701e-08,0,-5108.91,1,0.721585,-2.2785,0,0.0111,111
102.15,-2.45698e-08,0,-5108.91,1,0.728086,-2.272,0,0.0112,112
102.15,-2.47694e-08,0,-5108.91,1,0.734587,-2.2655,0,0.0113,113
102.15,-2.4969e-08,0,-5108.91,1,0.741088,-2.259,0,0.0114,114
102.15,-2.51687e-08,0,-5108.91,1,0.747588,-2.2525,0,0.0115,115
102.15,-2.53896e-08,0,-5108.91,1,0.754089,-2.246,0,0.0116,116
102.15,-2.56238e-08,0,-5108.91,1,0.76059,-2.2395,0,0.0117,117
