U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
102.15,-2.87955e-09,0,186.626,1,0.25675,-2.74325,0,0.05,79
102.15,-2.87889e-09,0,186.626,1,0.26,-2.74,0,0.05,80
102.15,-2.87822e-09,0,186.626,1,0.26325,-2.73675,0,0.05,81
102.15,-2.87756e-09,0,186.626,1,0.2665,-2.7335,0,0.05,82
102.15,-2.87689e-09,0,186.626,1,0.26975,-2.73025,0,0.05,83
102.15,-2.87622e-09,0,186.626,1,0.273,-2.727,0,0.05,84
102.15,-2.87556e-09,0,186.626,1,0.27625,-2.72375,0,0.05,85
102.15,-2.87489e-09,0,186.626,1,0.2795,-2.7205,0,0.05,86
102.15,-2.87422e-09,0,186.626,1,0.28275,-2.71725,0,0.05,87
102.15,-2.87356e-09,0,186.626,1,0.286,-2.714,0,0.05,88
102.15,-2.87289e-09,0,186.626,1,0.28925,-2.71075,0,0.05,89
102.15,-2.87223e-09,0,186.626,1,0.2925,-2.7075,0,0.05,90
102.15,-2.87156e-09,0,186.626,1,0.29575,-2.70425,0,0.05,91
102.15,-2.87089e-09,0,186.626,1,0.299,-2.701,0,0.05,92
102.15,-2.87023e-09,0,186.626,1,0.30225,-2.69775,0,0.05,93
102.15,-2.86956e-09,0,186.626,1,0.3055,-2.6945,0,0.05,94
102.15,-2.86889e-09,0,186.626,1,0.30875,-2.69125,0,0.05,95
102.15,-2.86823e-09,0,186.626,1,0.312,-2.688,0,0.05,96
102.15,-2.86756e-09,0,186.626,1,0.31525,-2.68475,0,0.05,97
102.15,-2.8669e-09,0,186.626,1,0.3185,-2.6815,0,0.05,98
102.15,-2.86623e-09,0,186.626,1,0.32175,-2.67825,0,0.05,99
102.15,-2.86556e-09,0,186.626,1,0.325,-2.675,0,0.05,100
102.15,-2.86383e-09,0,186.626,1,0.32825,-2.67175,0,0.05,101
102.15,-2.86209e-09,0,186.626,1,0.3315,-2.6685,0,0.05,102
102.15,-2.86035e-09,0,186.626,1,0.33475,-2.66525,0,0.05,103
102.15,-2.85861e-09,0,186.626,1,0.338,-2.662,0,0.05,104
102.15,-2.85688e-09,0,186.626,1,0.34125,-2.65875,0,0.05,105
102.15,-2.85514e-09,0,186.626,1,0.3445,-2.6555,0,0.05,106
102.15,-2.8534e-09,0,186.626,1,0.34775,-2.65225,0,0.05,107
102.15,-2.85167e-09,0,186.626,1,0.351,-2.649,0,0.05,108
102.15,-2.84993e-09,0,186.626,1,0.35425,-2.64575,0,0.05,109
102.15,-2.84819e-09,0,186.626,1,0.3575,-2.6425,0,0.05,110
102.15,-2.84646e-09,0,186.626,1,0.36075,-2.63925,0,0.05,111
102.15,-2.84472e-09,0,186.626,1,0.364,-2.636,0,0.05,112
102.15,-2.84298e-09,0,186.626,1,0.36725,-2.63275,0,0.05,113
102.15,-2.84125e-09,0,186.626,1,0.3705,-2.6295,0,0.05,114
102.15,-2.83951e-09,0,186.626,1,0.37375,-2.62625,0,0.05,115
102.15,-2.83777e-09,0,186.626,1,0.377,-2.623,0,0.05,116
102.15,-2.83604e-09,0,186.626,1,0.38025,-2.61975,0,0.05,117
102.15,-2.8343e-09,0,186.626,1,0.3835,-2.6165,0,0.05,118
102.15,-2.83256e-09,0,186.626,1,0.38675,-2.61325,0,0.05,119
102.15,-2.83082e-09,0,186.626,1,0.39,-2.61,0,0.05,120
102.15,-2.82909e-09,0,186.626,1,0.39325,-2.60675,0,0.05,121
102.15,-2.82735e-09,0,186.626,1,0.3965,-2.6035,0,0.05,122
102.15,-2.82561e-09,0,186.626,1,0.39975,-2.60025,0,0.05,123
102.15,-2.82388e-09,0,186.626,1,0.403,-2.597,0,0.05,124
102.15,-2.82214e-09,0,186.626,1,0.40625,-2.59375,0,0.05,125
102.15,-2.82607e-09,0,186.626,1,0.4095,-2.5905,0,0.05,126
102.15,-2.82999e-09,0,186.626,1,0.41275,-2.58725,0,0.05,127
102.15,-2.83392e-09,0,186.626,1,0.416,-2.584,0,0.05,128
102.15,-2.83784e-09,0,186.626,1,0.41925,-2.58075,0,0.05,129
102.15,-2.84177e-09,0,186.626,1,0.4225,-2.5775,0,0.05,130
